--offload
MSG:	Starting Offload
timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batteryVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
367162	101309.437500	298.27	-0.818816	0.852335	-10.017339	0.003192	0.001064	0.014899	302.75	0.01	0.24	-0.01	0.24	1.345323	0	0	0	0	0
372162	101286.328125	298.26	-0.766144	0.895431	-10.055646	-0.002128	-0.002128	0.013834	302.36	0.00	0.02	-0.25	0.24	3.343357	0	0	0	0	0
377162	101290.125000	298.27	-0.790086	0.809240	-10.084377	-0.006385	-0.002128	0.018091	302.65	0.01	0.06	-0.18	0.26	3.015055	0	0	0	0	0
382162	101286.328125	298.26	-0.746990	0.804451	-10.050858	-0.003192	-0.003192	0.018091	302.55	0.01	0.24	0.01	0.24	3.343357	0	0	0	0	0
387162	101282.546875	298.24	-0.785298	0.818816	-10.060435	-0.008513	-0.004256	0.017027	302.50	0.00	0.43	0.32	0.24	3.670319	0	0	0	0	0
392162	101282.546875	298.24	-0.799663	0.775721	-10.036493	-0.002128	-0.003192	0.017027	302.45	0.01	0.70	0.65	0.24	3.670319	0	0	0	0	0
397162	101294.265625	298.20	-0.766144	0.857124	-10.098742	-0.019156	-0.009578	0.018091	302.45	0.01	-0.21	-0.16	0.25	2.657040	0	0	0	0	0
402162	101271.187500	298.19	-0.761356	0.847547	-10.041281	-0.006385	0.000000	0.017027	302.70	0.00	0.33	0.55	0.24	4.652614	0	0	0	0	0
407162	101286.703125	298.17	-0.804451	0.828393	-10.055646	0.000000	-0.002128	0.015963	302.70	0.01	-0.21	0.00	0.24	3.310932	0	0	0	0	0
412162	101286.703125	298.17	-0.804451	0.814028	-10.079588	-0.001064	0.000000	0.015963	302.45	0.01	0.34	0.15	0.25	3.310932	0	0	0	0	0
417162	101282.906250	298.15	-0.775721	0.837970	-10.050858	-0.003192	-0.001064	0.017027	302.45	0.00	0.67	0.49	0.24	3.639244	0	0	0	0	0
422162	101263.609375	298.15	-0.809240	0.804451	-10.055646	-0.004256	-0.002128	0.015963	302.55	0.01	1.07	0.77	0.23	5.307978	0	0	0	0	0
427162	101279.125000	298.13	-0.790086	0.828393	-10.060435	-0.001064	-0.003192	0.015963	302.31	0.01	0.97	0.54	0.24	3.966214	0	0	0	0	0
432162	101275.343750	298.12	-0.766144	0.799663	-10.055646	-0.002128	-0.003192	0.017027	302.36	0.00	0.67	0.38	0.24	4.293194	0	0	0	0	0
437162	101290.828125	298.10	-0.794874	0.823605	-10.084377	-0.006385	-0.004256	0.014899	302.50	0.01	0.21	-0.09	0.25	2.954259	0	0	0	0	0
442162	101290.828125	298.10	-0.790086	0.842759	-10.046070	-0.003192	-0.001064	0.015963	302.75	0.01	0.42	0.26	0.24	2.954259	0	0	0	0	0
447162	101287.062500	298.08	-0.761356	0.842759	-10.007762	0.005321	0.000000	0.014899	302.55	0.00	0.39	0.17	0.25	3.279858	0	0	0	0	0
452162	101283.281250	298.07	-0.770932	0.885854	-10.055646	-0.003192	-0.002128	0.017027	302.50	0.01	0.71	0.47	0.23	3.606817	0	0	0	0	0
457162	101283.281250	298.07	-0.818816	0.895431	-10.065223	-0.005321	0.000000	0.015963	302.55	0.01	0.94	0.81	0.23	3.606817	0	0	0	0	0
462162	101298.765625	298.05	-0.794874	0.876277	-10.036493	-0.008513	-0.005321	0.018091	302.50	0.00	0.45	0.25	0.24	2.267967	0	0	0	0	0
467162	101260.171875	298.05	-0.770932	0.842759	-10.046070	-0.001064	-0.004256	0.019156	302.55	0.02	0.70	0.65	0.23	5.605269	0	0	0	0	0
472162	101294.968750	298.03	-0.751779	0.957680	-10.055646	-0.008513	0.004256	0.015963	302.45	0.01	0.49	0.37	0.23	2.596247	0	0	0	0	0
477162	101275.687500	298.03	-0.790086	0.905008	-10.041281	-0.003192	-0.004256	0.015963	302.65	0.00	0.56	0.39	0.23	4.263469	0	0	0	0	0
482162	101291.203125	298.01	-0.780509	0.909796	-10.036493	-0.004256	-0.003192	0.015963	302.36	0.01	0.38	0.15	0.24	2.921835	0	0	0	0	0
487162	101291.203125	298.01	-0.790086	0.928950	-10.046070	-0.004256	-0.001064	0.017027	302.50	0.02	0.30	-0.02	0.24	2.921835	0	0	0	0	0
492162	101287.390625	298.00	-0.818816	0.818816	-10.041281	-0.012770	-0.005321	0.017027	302.50	0.00	0.18	-0.00	0.23	3.251486	0	0	0	0	0
497162	101302.906250	297.98	-0.684741	0.656011	-10.074800	0.001064	0.000000	0.017027	302.36	0.02	0.17	0.02	0.26	1.909977	0	0	0	0	0
502162	101287.390625	298.00	-0.708683	0.612915	-10.079588	-0.012770	-0.006385	0.020220	302.45	0.01	0.72	0.44	0.26	3.251486	0	0	0	0	0
507162	101283.609375	297.98	-0.708683	0.632069	-10.055646	0.000000	-0.004256	0.015963	302.50	0.00	0.48	0.20	0.27	3.578444	0	0	0	0	0
512162	101287.390625	298.00	-0.699106	0.665588	-10.022128	-0.002128	-0.002128	0.017027	302.36	0.02	0.46	0.12	0.26	3.251486	0	0	0	0	0
517162	101283.609375	297.98	-0.679953	0.751779	-10.065223	-0.002128	0.002128	0.017027	302.45	0.01	0.08	-0.27	0.26	3.578444	0	0	0	0	0
522162	101287.390625	298.00	-0.732625	0.751779	-10.046070	-0.003192	-0.006385	0.019156	302.45	0.00	0.79	0.30	0.24	3.251486	0	0	0	0	0
527162	101264.328125	297.98	-0.703895	0.790086	-10.074800	-0.001064	-0.002128	0.014899	302.65	0.01	1.18	0.64	0.25	5.245818	0	0	0	0	0
532162	101279.843750	297.96	-0.713472	0.785298	-10.084377	-0.006385	-0.001064	0.017027	302.45	0.01	1.07	0.49	0.25	3.904062	0	0	0	0	0
537162	101279.843750	297.96	-0.761356	0.972045	-10.017339	0.000000	0.004256	0.015963	302.21	0.00	1.49	0.81	0.23	3.904062	0	0	0	0	0
542162	101276.031250	297.94	-0.794874	0.981622	-10.022128	-0.002128	-0.001064	0.015963	302.36	0.01	0.85	0.28	0.23	4.233743	0	0	0	0	0
547162	101276.031250	297.94	-0.756567	0.933738	-10.041281	-0.006385	-0.010642	0.018091	302.50	0.01	0.99	0.35	0.23	4.233743	0	0	0	0	0
552162	101295.312500	297.94	-0.775721	0.928950	-10.031704	-0.003192	-0.002128	0.017027	302.36	0.00	-0.09	-0.55	0.23	2.566525	0	0	0	0	0
557162	101276.031250	297.94	-0.785298	0.976834	-10.026916	-0.001064	-0.002128	0.015963	302.55	0.01	0.40	0.03	0.23	4.233743	0	0	0	0	0
562162	101291.531250	297.93	-0.732625	0.943315	-10.070012	-0.009578	-0.002128	0.018091	302.31	0.02	0.61	0.33	0.23	2.893464	0	0	0	0	0
567162	101291.531250	297.93	-0.785298	0.938527	-10.070012	-0.010642	-0.009578	0.017027	302.16	0.00	0.55	0.19	0.24	2.893464	0	0	0	0	0
572162	101272.250000	297.93	-0.775721	0.995987	-10.026916	-0.002128	0.001064	0.018091	302.31	0.01	0.85	0.49	0.22	4.560731	0	0	0	0	0
577162	101287.750000	297.91	-0.770932	0.943315	-10.036493	-0.005321	-0.005321	0.019156	302.36	0.01	0.73	0.35	0.22	3.220412	0	0	0	0	0
582162	101283.953125	297.89	-0.751779	0.952892	-10.046070	0.002128	0.002128	0.015963	302.21	0.00	0.46	0.08	0.23	3.548720	0	0	0	0	0
587162	101283.953125	297.89	-0.790086	1.000776	-10.050858	-0.004256	-0.004256	0.015963	302.45	0.01	0.71	0.27	0.23	3.548720	0	0	0	0	0
592162	101283.953125	297.89	-0.746990	0.962469	-10.036493	-0.002128	0.001064	0.017027	302.21	0.01	0.48	0.19	0.22	3.548720	0	0	0	0	0
597162	101303.234375	297.89	-0.780509	1.019929	-10.060435	-0.004256	0.000000	0.018091	302.21	0.00	0.27	-0.10	0.22	1.881609	0	0	0	0	0
602162	101303.234375	297.89	-0.756567	0.991199	-10.050858	0.000000	-0.002128	0.018091	302.31	0.01	0.03	-0.32	0.23	1.881609	0	0	0	0	0
607162	101280.171875	297.88	-0.751779	0.957680	-10.036493	-0.007449	-0.003192	0.017027	302.16	0.01	0.87	0.56	0.23	3.875688	0	0	0	0	0
612162	101299.453125	297.88	-0.780509	0.943315	-10.036493	-0.004256	-0.007449	0.019156	302.21	0.00	-0.22	-0.31	0.23	2.208526	0	0	0	0	0
617162	101276.375000	297.86	-0.804451	1.000776	-10.050858	-0.007449	0.001064	0.018091	302.21	0.02	1.32	0.90	0.23	4.204017	0	0	0	0	0
622162	101276.375000	297.86	-0.780509	0.981622	-10.026916	-0.002128	-0.003192	0.013834	302.45	0.01	0.98	0.54	0.23	4.204017	0	0	0	0	0
627162	101291.859375	297.84	-0.756567	0.976834	-10.046070	-0.004256	-0.002128	0.017027	302.36	0.00	0.43	0.05	0.23	2.865092	0	0	0	0	0
632162	101272.578125	297.84	-0.818816	0.981622	-10.031704	-0.007449	-0.001064	0.015963	302.31	0.01	1.13	0.42	0.23	4.532356	0	0	0	0	0
637162	101291.859375	297.84	-0.794874	0.967257	-10.046070	-0.003192	-0.003192	0.015963	302.21	0.01	0.97	0.22	0.23	2.865092	0	0	0	0	0
642162	101291.859375	297.84	-0.799663	0.952892	-10.007762	-0.004256	-0.001064	0.019156	302.45	0.00	0.70	-0.06	0.23	2.865092	0	0	0	0	0
647162	101272.578125	297.84	-0.799663	1.000776	-10.055646	-0.005321	-0.006385	0.017027	302.31	0.01	1.27	0.46	0.22	4.532356	0	0	0	0	0
652162	101272.578125	297.84	-0.775721	0.957680	-10.065223	0.013834	0.004256	0.014899	302.16	0.01	1.21	0.46	0.22	4.532356	0	0	0	0	0
657162	101291.859375	297.84	-0.833182	0.976834	-9.998186	0.002128	-0.001064	0.014899	302.31	0.00	0.07	-0.50	0.23	2.865092	0	0	0	0	0
662162	101272.578125	297.84	-0.785298	0.972045	-10.007762	-0.002128	-0.005321	0.015963	302.31	0.01	0.66	-0.03	0.22	4.532356	0	0	0	0	0
667162	101272.578125	297.84	-0.818816	0.981622	-10.036493	-0.005321	-0.003192	0.017027	302.36	0.01	1.29	0.57	0.23	4.532356	0	0	0	0	0
672162	101295.671875	297.86	-0.814028	0.972045	-10.036493	-0.011706	-0.008513	0.019156	302.21	0.00	0.43	-0.27	0.22	2.535453	0	0	0	0	0
677162	101272.578125	297.84	-0.799663	0.943315	-10.050858	0.001064	-0.003192	0.017027	302.45	0.02	1.42	0.69	0.23	4.532356	0	0	0	0	0
