timestampMs	pressurePa	barometerTemperatureK	accelerationMSS_x	accelerationMSS_y	accelerationMSS_z	velocityRadS_x	velocityRadS_y	velocityRadS_z	imuTemperatureK	batterVoltageV	altitudeM	velocityMS	accelerationMSS	unfilteredAltitudeM	flightState	drogueContinuity	drogueFired	mainContinuity	mainFired
10420116	100063.937500	284.15	-9.888052	-0.095768	-0.268150	0.015963	-0.004256	-0.005321	289.53	3.94	0.60	0.49	0.08	104.279342	0	0	0	0	0
10425116	100041.968750	284.13	-9.873687	-0.047884	-0.268150	0.011706	0.001064	-0.012770	289.63	3.94	0.08	-0.01	0.16	106.105377	0	0	0	0	0
10430116	100060.187500	284.13	-9.897629	-0.076614	-0.272938	0.013834	-0.001064	-0.006385	289.58	3.94	0.24	0.20	0.25	104.591018	0	0	0	0	0
10435116	100060.187500	284.13	-9.873687	-0.086191	-0.263362	0.013834	-0.002128	-0.007449	289.63	3.95	0.17	0.10	0.08	104.591018	0	0	0	0	0
10440116	100056.437500	284.11	-9.902418	-0.071826	-0.301669	0.007449	0.003192	-0.008513	289.72	3.94	0.30	0.08	0.03	104.902702	0	0	0	0	0
10445116	100056.437500	284.11	-9.806650	-0.124498	-0.268150	0.018091	-0.004256	-0.003192	289.63	3.94	-0.10	-0.25	-0.09	104.902702	0	0	0	0	0
10450116	100034.437500	284.10	-9.888052	-0.067037	-0.277727	0.013834	-0.001064	-0.009578	289.43	3.94	0.72	0.60	0.05	106.731452	0	0	0	0	0
10455116	100052.671875	284.10	-9.902418	-0.076614	-0.330399	0.010642	0.000000	-0.006385	289.43	3.94	0.17	-0.00	0.04	105.215698	0	0	0	0	0
10460116	100052.671875	284.10	-9.131484	1.805227	0.665588	0.036183	0.019156	-0.045761	289.43	3.94	0.51	0.16	0.08	105.215698	0	0	0	0	0
10465116	100048.937500	284.08	-9.873687	-0.090979	-0.349553	0.009578	-0.002128	-0.011706	289.53	3.94	0.60	0.15	0.06	105.526100	0	0	0	0	0
10470116	100048.937500	284.08	-9.864110	0.000000	-0.306457	0.011706	-0.001064	-0.004256	289.43	3.94	0.70	0.00	-0.10	105.526100	0	0	0	0	0
10475116	100030.703125	284.08	-9.883264	-0.067037	-0.258573	0.014899	0.000000	-0.005321	289.63	3.95	0.91	0.25	0.15	107.041900	0	0	0	0	0
10480116	100048.937500	284.08	-9.950302	-0.052672	-0.292092	-0.004256	-0.007449	-0.002128	289.53	3.94	0.79	0.11	0.06	105.526100	0	0	0	0	0
10485116	100045.187500	284.06	-8.825027	-0.330399	-0.656011	0.023412	-0.034055	0.075559	289.58	3.94	0.77	0.08	-0.11	105.837814	0	0	0	0	0
10490116	100045.187500	284.06	-9.945513	-0.023942	-0.287304	-0.004256	-0.005321	-0.003192	289.53	3.94	1.11	0.43	0.14	105.837814	0	0	0	0	0
10495116	100063.406250	284.06	-9.849745	-0.028730	-0.253785	0.009578	-0.001064	-0.011706	289.28	3.95	0.19	-0.30	0.04	104.323493	0	0	0	0	0
10500116	100063.406250	284.06	-9.868899	-0.043095	-0.287304	0.011706	0.000000	-0.007449	289.43	3.94	0.48	-0.17	0.07	104.323493	0	0	0	0	0
10505116	100063.406250	284.06	-9.888052	-0.023942	-0.292092	0.008513	0.001064	-0.003192	289.43	3.94	0.16	-0.35	0.10	104.323493	0	0	0	0	0
10510116	100063.406250	284.06	-9.911994	-0.047884	-0.301669	0.015963	0.002128	-0.004256	289.58	3.94	0.53	-0.03	0.02	104.323493	0	0	0	0	0
10515116	100063.406250	284.06	-9.878476	-0.090979	-0.277727	0.011706	-0.002128	-0.008513	289.63	3.94	0.59	-0.09	0.08	104.323493	0	0	0	0	0
10520116	100041.437500	284.05	-9.868899	-0.057460	-0.263362	0.010642	-0.002128	-0.010642	289.28	3.94	0.37	-0.17	0.27	106.149543	0	0	0	0	0
10525116	100041.437500	284.05	-9.911994	0.014365	-0.244208	0.015963	-0.001064	-0.006385	289.38	3.94	1.22	0.48	-0.00	106.149543	0	0	0	0	0
10530116	100037.671875	284.03	-9.916783	-0.119710	-0.292092	0.013834	0.000000	-0.004256	289.53	3.94	0.72	0.32	0.07	106.462577	0	0	0	0	0
10535116	100059.656250	284.05	-10.204087	0.296881	-0.191536	0.004256	-0.025541	0.043633	289.43	3.94	0.95	0.05	0.45	104.635169	0	0	0	0	0
10540116	100055.906250	284.03	-9.873687	-0.052672	-0.277727	0.008513	0.002128	-0.009578	289.63	3.94	0.57	-0.21	-0.03	104.946861	0	0	0	0	0
10545116	100055.906250	284.03	-9.883264	0.004788	-0.282515	0.012770	-0.003192	-0.008513	289.43	3.94	0.82	0.12	0.08	104.946861	0	0	0	0	0
10550116	100037.671875	284.03	-9.528923	1.422155	0.411802	0.086202	0.013834	-0.017027	289.53	3.94	1.16	0.15	0.05	106.462577	0	0	0	0	0
10555116	100033.921875	284.01	-9.873687	-0.033518	-0.311246	0.015963	0.000000	-0.008513	289.43	3.94	1.42	0.48	-0.07	106.774314	0	0	0	0	0
10560116	100052.156250	284.01	-9.859322	-0.004788	-0.296881	0.008513	-0.003192	-0.010642	289.38	3.94	1.19	0.21	0.06	105.258552	0	0	0	0	0
10565116	100030.171875	284.00	-9.883264	-0.067037	-0.320823	0.012770	-0.004256	-0.006385	289.43	3.94	1.60	0.71	0.01	107.086067	0	0	0	0	0
10570116	100048.406250	284.00	-9.888052	-0.028730	-0.287304	0.011706	-0.002128	-0.008513	289.53	3.94	0.98	0.09	-0.08	105.570259	0	0	0	0	0
10575116	100048.406250	284.00	-9.902418	-0.033518	-0.229843	0.014899	0.001064	-0.005321	289.43	3.94	0.58	-0.04	0.09	105.570259	0	0	0	0	0
10580116	100048.406250	284.00	-9.902418	-0.114921	-0.296881	0.014899	0.000000	-0.008513	289.38	3.94	1.34	0.50	0.21	105.570259	0	0	0	0	0
10585116	100062.875000	283.98	-9.864110	-0.134075	-0.325611	0.010642	-0.001064	-0.006385	289.53	3.94	0.52	-0.35	0.03	104.367645	0	0	0	0	0
10590116	100062.875000	283.98	-9.888052	-0.004788	-0.268150	0.011706	-0.001064	-0.006385	289.53	3.94	0.42	-0.38	0.06	104.367645	0	0	0	0	0
10595116	100062.875000	283.98	-9.892841	-0.110133	-0.301669	0.010642	0.001064	-0.009578	289.43	3.94	0.34	-0.39	-0.08	104.367645	0	0	0	0	0
10600116	100044.656250	283.98	-11.204863	-1.225831	-0.746990	0.110679	-0.025541	0.014899	289.28	3.95	1.04	0.17	0.27	105.881980	0	0	0	0	0
10605116	100040.921875	283.96	-9.907206	-0.043095	-0.301669	0.018091	0.001064	-0.007449	289.38	3.94	1.25	0.23	0.06	106.192405	0	0	0	0	0
10610116	100040.921875	283.96	-9.888052	-0.076614	-0.253785	0.013834	-0.004256	-0.004256	289.43	3.94	1.36	0.47	0.32	106.192405	0	0	0	0	0
10615116	100037.140625	283.95	-8.757989	1.168370	0.349553	-0.028734	-0.001064	-0.028734	289.43	3.94	0.82	0.04	-0.03	106.506736	0	0	0	0	0
10620116	100037.140625	283.95	-9.892841	-0.023942	-0.363918	0.019156	0.002128	-0.015963	289.38	3.94	1.27	0.26	0.05	106.506736	0	0	0	0	0
